Data,Produto,Serial number,Valor de Venda,Preço Custo,Duração Venda Telefone (mins),Tempo Preparaçãoo (mins)
19/03/2017,AX101,GF54309,68.71,34.36,17,11
27/02/2017,BX102,GF54425,53.57,29.46,26,11
2/3/2017,AX101,GF54381,68.71,37.79,27,20
28/03/2017,BX101,GF54527,30.06,13.53,17,23
3/3/2017,AX101,GF54695,68.71,35.73,0,20
19/03/2017,BX102,GF54484,53.57,28.39,33,19
5/3/2017,AX103,GF54240,53.5,25.15,4,20
27/02/2017,AX102,GF54584,51.28,24.1,19,11
6/3/2017,DX101,GF54319,17.62,9.16,28,22
27/03/2017,AX102,GF54236,51.28,27.18,3,15
7/3/2017,AX102,GF54473,51.28,25.64,28,22
25/03/2017,AX103,GF54256,53.5,25.15,0,16
27/03/2017,CX101,GF54609,45.3,21.75,4,11
29/03/2017,DX103,GF54556,42.52,23.39,0,12
19/03/2017,BX102,GF54434,53.57,26.25,20,16
27/03/2017,BX102,GF54418,53.57,26.25,23,22
23/03/2017,AX103,GF54594,53.5,25.68,23,15
7/3/2017,DX103,GF54315,42.52,19.13,0,16
14/03/2017,CX101,GF54568,45.3,21.29,37,9
27/03/2017,AX101,GF54354,68.71,31.61,22,22
13/03/2017,DX102,GF54634,62.46,30.61,27,18
7/3/2017,BX103,GF54492,68.93,35.84,0,16
31/03/2017,AX103,GF54314,53.5,27.82,27,13
19/03/2017,DX102,GF54527,62.46,30.61,4,18
24/03/2017,AX102,GF54245,51.28,24.62,20,12
9/3/2017,AX101,GF54502,68.71,35.73,6,20
27/02/2017,CX102,GF54233,24.79,11.4,13,22
23/03/2017,CX103,GF54509,73.3,33.72,18,17
4/3/2017,CX101,GF54685,45.3,23.1,24,14
20/03/2017,AX103,GF54331,53.5,25.68,35,9
18/03/2017,DX101,GF54489,17.62,8.11,26,22
5/3/2017,AX101,GF54361,68.71,33.67,39,19
28/02/2017,DX102,GF54323,62.46,34.35,37,23
20/03/2017,DX101,GF54405,17.62,8.11,23,19
1/3/2017,BX103,GF54414,68.93,33.78,0,17
1/3/2017,BX102,GF54373,53.57,26.25,0,14
27/03/2017,BX102,GF54448,53.57,28.39,14,12
27/02/2017,AX102,GF54331,51.28,28.2,16,21
17/03/2017,BX101,GF54692,30.06,14.73,0,18
4/3/2017,BX101,GF54696,30.06,14.73,37,9
16/03/2017,AX102,GF54298,51.28,25.13,39,15
27/03/2017,CX103,GF54368,73.3,40.32,0,11
17/03/2017,DX103,GF54250,42.52,22.96,29,20
21/03/2017,DX103,GF54604,42.52,21.26,5,14
24/03/2017,CX101,GF54559,45.3,21.75,23,23
4/3/2017,BX101,GF54607,30.06,14.73,16,15
18/03/2017,DX102,GF54264,62.46,34.35,27,22
3/3/2017,CX102,GF54664,24.79,12.89,37,18
4/3/2017,BX102,GF54620,53.57,28.93,0,18
7/3/2017,AX103,GF54324,53.5,27.82,23,21
3/3/2017,BX103,GF54298,68.93,33.09,13,12
13/03/2017,BX103,GF54674,68.93,31.71,32,16
24/03/2017,AX102,GF54615,51.28,28.2,29,14
15/03/2017,AX103,GF54498,53.5,29.43,36,18
23/03/2017,AX102,GF54232,51.28,28.2,0,15
1/3/2017,CX103,GF54371,73.3,40.32,9,15
31/03/2017,DX101,GF54430,17.62,8.28,31,19
8/3/2017,CX103,GF54449,73.3,38.85,1,22
24/03/2017,DX101,GF54576,17.62,8.99,11,22
11/3/2017,DX102,GF54374,62.46,31.86,3,21
8/3/2017,BX102,GF54685,53.57,24.64,12,18
29/03/2017,DX101,GF54587,17.62,9.34,30,18
25/03/2017,DX102,GF54493,62.46,28.73,31,16
11/3/2017,BX101,GF54434,30.06,14.73,34,13
4/3/2017,DX103,GF54658,42.52,19.98,3,17
5/3/2017,CX102,GF54402,24.79,13.39,29,23
6/3/2017,AX102,GF54400,51.28,23.08,37,15
22/03/2017,DX102,GF54521,62.46,28.11,0,17
6/3/2017,BX103,GF54305,68.93,34.47,27,23
20/03/2017,BX101,GF54460,30.06,15.03,7,21
23/03/2017,AX103,GF54457,53.5,29.43,20,14
30/03/2017,BX101,GF54433,30.06,14.73,20,11
17/03/2017,BX103,GF54695,68.93,34.47,34,11
23/03/2017,DX102,GF54341,62.46,30.61,31,19
19/03/2017,BX103,GF54500,68.93,33.09,3,20
22/03/2017,DX101,GF54501,17.62,9.34,28,11
5/3/2017,DX101,GF54258,17.62,9.52,39,22
7/3/2017,BX103,GF54548,68.93,37.22,32,11
13/03/2017,AX102,GF54405,51.28,24.1,18,19
4/3/2017,BX103,GF54291,68.93,33.09,32,14
8/3/2017,AX101,GF54586,68.71,30.92,22,18
7/3/2017,AX103,GF54279,53.5,25.68,31,9
17/03/2017,DX102,GF54334,62.46,31.23,0,12
27/02/2017,DX102,GF54304,62.46,31.86,30,10
20/03/2017,DX101,GF54296,17.62,8.11,23,15
2/3/2017,AX103,GF54401,53.5,24.08,16,14
20/03/2017,DX101,GF54389,17.62,8.64,8,12
20/03/2017,CX103,GF54641,73.3,33.72,35,14
14/03/2017,CX101,GF54601,45.3,24.92,4,13
29/03/2017,DX101,GF54462,17.62,9.69,0,12
22/03/2017,BX103,GF54648,68.93,34.47,2,22
27/03/2017,BX103,GF54624,68.93,32.4,36,15
2/3/2017,DX101,GF54592,17.62,9.34,0,22
5/3/2017,CX102,GF54679,24.79,11.4,25,9
6/3/2017,BX102,GF54251,53.57,25.18,19,21
27/03/2017,BX103,GF54642,68.93,35.16,33,14
18/03/2017,BX103,GF54286,68.93,35.84,3,21
17/03/2017,AX102,GF54268,51.28,26.15,17,14
24/03/2017,AX101,GF54553,68.71,32.3,40,23
27/03/2017,AX103,GF54373,53.5,28.36,27,11
3/3/2017,BX103,GF54602,68.93,35.16,17,9
23/03/2017,DX101,GF54599,17.62,8.64,33,16
10/3/2017,BX103,GF54456,68.93,37.22,0,18
27/03/2017,AX102,GF54322,51.28,24.62,28,17
29/03/2017,DX102,GF54356,62.46,32.48,30,13
21/03/2017,AX102,GF54301,51.28,25.64,15,9
